FM: initial setting 0
L:4.06697e+15 diff_v:10.6191 diff_w:0.479644 diff:11.0988 step0
L:3.67791e+15 diff_v:0.458698 diff_w:0.158305 diff:0.617002 step1
L:3.33218e+15 diff_v:0.419755 diff_w:0.124895 diff:0.54465 step2
L:3.02792e+15 diff_v:0.388197 diff_w:0.0979223 diff:0.486119 step3
L:2.75972e+15 diff_v:0.362151 diff_w:0.0761991 diff:0.43835 step4
L:2.52288e+15 diff_v:0.340216 diff_w:0.0587978 diff:0.399014 step5
L:2.3133e+15 diff_v:0.32139 diff_w:0.0450404 diff:0.366431 step6
L:2.12744e+15 diff_v:0.304951 diff_w:0.0344634 diff:0.339415 step7
L:1.96225e+15 diff_v:0.290372 diff_w:0.0267895 diff:0.317161 step8
L:1.81507e+15 diff_v:0.277264 diff_w:0.0218495 diff:0.299113 step9
L:1.68362e+15 diff_v:0.265339 diff_w:0.0193752 diff:0.284715 step10
L:1.56592e+15 diff_v:0.254382 diff_w:0.0187823 diff:0.273164 step11
L:1.46028e+15 diff_v:0.244228 diff_w:0.0192903 diff:0.263518 step12
L:1.36521e+15 diff_v:0.23475 diff_w:0.0202519 diff:0.255002 step13
L:1.27944e+15 diff_v:0.225852 diff_w:0.0212792 diff:0.247131 step14
L:1.20185e+15 diff_v:0.217456 diff_w:0.0221831 diff:0.239639 step15
L:1.13149e+15 diff_v:0.209502 diff_w:0.0228871 diff:0.232389 step16
L:1.06751e+15 diff_v:0.201941 diff_w:0.0233722 diff:0.225313 step17
L:1.00918e+15 diff_v:0.194734 diff_w:0.023646 diff:0.21838 step18
L:9.55875e+14 diff_v:0.187848 diff_w:0.0237284 diff:0.211576 step19
L:9.07032e+14 diff_v:0.181257 diff_w:0.0236432 diff:0.2049 step20
L:8.62166e+14 diff_v:0.174937 diff_w:0.023415 diff:0.198352 step21
L:8.20851e+14 diff_v:0.16887 diff_w:0.0230672 diff:0.191937 step22
L:7.82712e+14 diff_v:0.163039 diff_w:0.022621 diff:0.18566 step23
L:7.47422e+14 diff_v:0.15743 diff_w:0.0220953 diff:0.179526 step24
L:7.14689e+14 diff_v:0.152031 diff_w:0.0215069 diff:0.173538 step25
L:6.84261e+14 diff_v:0.146831 diff_w:0.0208701 diff:0.167701 step26
L:6.55911e+14 diff_v:0.14182 diff_w:0.0201975 diff:0.162017 step27
L:6.29441e+14 diff_v:0.136988 diff_w:0.0194998 diff:0.156488 step28
L:6.04675e+14 diff_v:0.132329 diff_w:0.018786 diff:0.151115 step29
L:5.81456e+14 diff_v:0.127835 diff_w:0.0180638 diff:0.145899 step30
L:5.59647e+14 diff_v:0.1235 diff_w:0.0173397 diff:0.140839 step31
L:5.39124e+14 diff_v:0.119316 diff_w:0.016619 diff:0.135935 step32
L:5.19778e+14 diff_v:0.115278 diff_w:0.0159062 diff:0.131185 step33
L:5.01511e+14 diff_v:0.111382 diff_w:0.015205 diff:0.126587 step34
L:4.84237e+14 diff_v:0.107621 diff_w:0.0145184 diff:0.12214 step35
L:4.67876e+14 diff_v:0.103992 diff_w:0.0138486 diff:0.117841 step36
L:4.52361e+14 diff_v:0.10049 diff_w:0.0131976 diff:0.113687 step37
L:4.37628e+14 diff_v:0.0971097 diff_w:0.0125667 diff:0.109676 step38
L:4.23622e+14 diff_v:0.0938483 diff_w:0.011957 diff:0.105805 step39
L:4.10291e+14 diff_v:0.0907017 diff_w:0.0113693 diff:0.102071 step40
L:3.9759e+14 diff_v:0.0876662 diff_w:0.0108038 diff:0.09847 step41
L:3.85479e+14 diff_v:0.0847383 diff_w:0.010261 diff:0.0949993 step42
L:3.73919e+14 diff_v:0.0819148 diff_w:0.00974073 diff:0.0916556 step43
L:3.62878e+14 diff_v:0.0791926 diff_w:0.00924293 diff:0.0884356 step44
L:3.52325e+14 diff_v:0.0765687 diff_w:0.00876732 diff:0.085336 step45
L:3.42231e+14 diff_v:0.0740402 diff_w:0.00831352 diff:0.0823537 step46
L:3.32571e+14 diff_v:0.0716044 diff_w:0.00788106 diff:0.0794855 step47
L:3.23323e+14 diff_v:0.0692587 diff_w:0.00746942 diff:0.0767281 step48
L:3.14463e+14 diff_v:0.0670007 diff_w:0.00707799 diff:0.0740787 step49
L:3.05973e+14 diff_v:0.064828 diff_w:0.00670615 diff:0.0715341 step50
L:2.97833e+14 diff_v:0.0627383 diff_w:0.00635323 diff:0.0690915 step51
L:2.90028e+14 diff_v:0.0607296 diff_w:0.00601854 diff:0.0667482 step52
L:2.82542e+14 diff_v:0.0587999 diff_w:0.00570138 diff:0.0645013 step53
L:2.7536e+14 diff_v:0.0569472 diff_w:0.00540104 diff:0.0623483 step54
L:2.68467e+14 diff_v:0.0551699 diff_w:0.00511683 diff:0.0602867 step55
L:2.61852e+14 diff_v:0.053466 diff_w:0.00484803 diff:0.0583141 step56
L:2.55503e+14 diff_v:0.0518342 diff_w:0.00459395 diff:0.0564281 step57
L:2.49407e+14 diff_v:0.0502728 diff_w:0.00435392 diff:0.0546267 step58
L:2.43556e+14 diff_v:0.0487805 diff_w:0.00412726 diff:0.0529078 step59
L:2.37937e+14 diff_v:0.047356 diff_w:0.00391332 diff:0.0512693 step60
L:2.32542e+14 diff_v:0.045998 diff_w:0.00371146 diff:0.0497094 step61
L:2.27362e+14 diff_v:0.0447053 diff_w:0.00352109 diff:0.0482264 step62
L:2.22389e+14 diff_v:0.0434769 diff_w:0.0033416 diff:0.0468185 step63
L:2.17613e+14 diff_v:0.0423117 diff_w:0.00317243 diff:0.0454841 step64
L:2.13028e+14 diff_v:0.0412088 diff_w:0.00301302 diff:0.0442218 step65
L:2.08625e+14 diff_v:0.0401672 diff_w:0.00286285 diff:0.04303 step66
L:2.04398e+14 diff_v:0.0391861 diff_w:0.00272142 diff:0.0419075 step67
L:2.0034e+14 diff_v:0.0382645 diff_w:0.00258824 diff:0.0408528 step68
